componentName,dataRowID,YN
openURL,test,Y
psLogin,Marketer,Y
psHomePageValidation,test,Y
psCreateProjectStatementPage1,test,Y
psCreateProjectStatementPage2,SelectAll,Y
psCreateProjectStatementPage3,Send,Y
psLogout,test,Y
psLogin,Agency,Y
psValidateProjectStatement,test,Y
psLogout,test,Y
openURL,test,Y
psLogin,Marketer,Y
psHomePageValidation,test,Y
psCreateProjectStatementPage1,test,Y
psCreateProjectStatementPage2,Random,Y
psCreateProjectStatementPage3,Continue,Y
psValidateProjectStatementWithOverView,test,Y
psDeliverables,test,Y
psAddDeliverables,test,Y
psValidateAddedDeliverables,test,Y
psAddRateCard,test,Y
psStaffing,SelectAll,N
psStaffing,Random,Y
psExpenses,test,Y
psReview,Send,Y
openURL,test,Y
psLogin,Marketer,Y
psHomePageValidation,test,Y
psCreateProjectStatementPage1,test,Y
psCreateProjectStatementPage2,Random,Y
psCreateProjectStatementPage3,Continue,Y
psValidateProjectStatementWithOverView,test,Y
psDeliverables,test,Y
psAddDeliverables,test,Y
psValidateAddedDeliverables,test,Y
psAddRateCard,test,Y
psStaffing,SelectAll,N
psStaffing,Random,Y
psExpenses,test,Y
psReview,Cancel,Y
openURL,test,Y
psLogin,Marketer,Y
psHomePageValidation,test,Y
psCreatePitchAgreementPage1,test,Y
psLogout,test,Y
