componentName,dataRowID,YN
openURL,test,Y
psLogin,Marketer,Y
psHomePageValidation,test,Y
psCreateProjectStatementPage1,test,Y
psCreateProjectStatementPage2,SelectAll,N
psCreateProjectStatementPage2,Random,Y
psCreateProjectStatementPage3,Send,N
psCreateProjectStatementPage3,Continue,Y
psValidateProjectStatementWithOverView,test,Y
psDeliverables,test,Y
psAddDeliverables,test,Y
psValidateAddedDeliverables,test,Y
psAddRateCard,test,Y
psStaffing,SelectAll,Y
psStaffing,Random,N
psExpenses,test,Y
psReview,Send,N
psReview,Cancel,Y
psLogout,test,Y
psLogin,Agency,N
psValidateProjectStatement,test,N
psLogout,test,N
